Time(h)/Currency(c);Description
411,21.73;Price after 17 days in Breach HC:
435,21.41;Price after 18 days in Breach HC:
459,21.08;Price after 19 days in Breach HC:
483,20.84;Price after 20 days in Breach HC:
507,20.73;Price after 21 days in Breach HC:
531,20.57;Price after 22 days in Breach HC:
555,20.48;Price after 23 days in Breach HC:
579,20.41;Price after 24 days in Breach HC:
603,20.33;Price after 25 days in Breach HC:
627,20.25;Price after 26 days in Breach HC:
651,20.26;Price after 27 days in Breach HC:
675,20.31;Price after 28 days in Breach HC:
699,20.43;Price after 29 days in Breach HC:
723,20.63;Price after 30 days in Breach HC:
747,21;Price after 31 days in Breach HC:
771,21.67;Price after 32 days in Breach HC:
795,22.41;Price after 33 days in Breach HC:
819,23.23;Price after 34 days in Breach HC:
843,24.01;Price after 35 days in Breach HC:
867,24.78;Price after 36 days in Breach HC:
891,25.53;Price after 37 days in Breach HC:
915,26.29;Price after 38 days in Breach HC:
939,27.01;Price after 39 days in Breach HC:
963,27.76;Price after 40 days in Breach HC:
987,28.34;Price after 41 days in Breach HC:
1011,28.92;Price after 42 days in Breach HC:
1035,29.38;Price after 43 days in Breach HC:
1059,29.52;Price after 44 days in Breach HC:
1083,29.58;Price after 45 days in Breach HC:
1107,29.67;Price after 46 days in Breach HC:
1131,29.79;Price after 47 days in Breach HC:
1155,29.93;Price after 48 days in Breach HC:
1179,30.04;Price after 49 days in Breach HC:
1203,30.15;Price after 50 days in Breach HC:
1227,30.25;Price after 51 days in Breach HC:
1251,30.34;Price after 52 days in Breach HC:
1275,30.5;Price after 53 days in Breach HC:
1299,30.63;Price after 54 days in Breach HC:
1323,30.8;Price after 55 days in Breach HC:
1347,30.96;Price after 56 days in Breach HC:
1371,31.13;Price after 57 days in Breach HC:
1395,31.36;Price after 58 days in Breach HC:
1419,31.58;Price after 59 days in Breach HC:
1443,31.84;Price after 60 days in Breach HC:
1467,32.34;Price after 61 days in Breach HC:
1491,32.97;Price after 62 days in Breach HC:
1515,33.63;Price after 63 days in Breach HC:
1539,34.28;Price after 64 days in Breach HC:
1563,34.84;Price after 65 days in Breach HC:
1587,35.35;Price after 66 days in Breach HC:
1611,36;Price after 67 days in Breach HC:
1635,36.89;Price after 68 days in Breach HC:
